"","start.date","end.date","debt.volume","relative_changethree","relative_changetwo","relative_changeone"
"255","2008-11-16 00:00:00","2008-11-22 00:00:00",31,0,0,-2
"256","2008-11-23 00:00:00","2008-11-29 00:00:00",27,-4,-5,-4
"257","2008-11-30 00:00:00","2008-12-06 00:00:00",31,0.666666666666668,2,4
"258","2008-12-07 00:00:00","2008-12-13 00:00:00",29,-0.666666666666668,0,-2
"259","2008-12-14 00:00:00","2008-12-20 00:00:00",26,-3,-4,-3
"260","2008-12-21 00:00:00","2008-12-27 00:00:00",21,-7.66666666666667,-6.5,-5
"261","2008-12-28 00:00:00","2009-01-03 00:00:00",28,2.66666666666667,4.5,7
"262","2009-01-04 00:00:00","2009-01-10 00:00:00",32,7,7.5,4
"263","2009-01-11 00:00:00","2009-01-17 00:00:00",29,2,-1,-3
"264","2009-01-18 00:00:00","2009-01-24 00:00:00",29,-0.666666666666668,-1.5,0
"265","2009-01-25 00:00:00","2009-01-31 00:00:00",30,0,1,1
"266","2009-02-01 00:00:00","2009-02-07 00:00:00",32,2.66666666666667,2.5,2
"267","2009-02-08 00:00:00","2009-02-14 00:00:00",32,1.66666666666667,1,0
"268","2009-02-15 00:00:00","2009-02-21 00:00:00",33,1.66666666666667,1,1
"269","2009-02-22 00:00:00","2009-02-28 00:00:00",33,0.666666666666664,0.5,0
"270","2009-03-01 00:00:00","2009-03-07 00:00:00",31,-1.66666666666666,-2,-2
"271","2009-03-08 00:00:00","2009-03-14 00:00:00",29,-3.33333333333334,-3,-2
"272","2009-03-15 00:00:00","2009-03-21 00:00:00",29,-2,-1,0
"273","2009-03-22 00:00:00","2009-03-28 00:00:00",30,0.333333333333332,1,1
"274","2009-03-29 00:00:00","2009-04-04 00:00:00",29,-0.333333333333332,-0.5,-1
"275","2009-04-05 00:00:00","2009-04-11 00:00:00",29,-0.333333333333332,-0.5,0
"276","2009-04-12 00:00:00","2009-04-18 00:00:00",29,-0.333333333333332,0,0
"277","2009-04-19 00:00:00","2009-04-25 00:00:00",30,1,1,1
"278","2009-04-26 00:00:00","2009-05-02 00:00:00",27,-2.33333333333333,-2.5,-3
"279","2009-05-03 00:00:00","2009-05-09 00:00:00",27,-1.66666666666667,-1.5,0
"280","2009-05-10 00:00:00","2009-05-16 00:00:00",25,-3,-2,-2
